"Camera Trap Name","Latitude","Longitude"
"IMG_0123.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0124.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0125.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0126.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0127.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0128.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0129.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0130.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0131.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0132.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0133.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0134.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0135.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0136.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0137.JPG_CAM08A_R4_R4B_12202017_04232018",41.801757,-72.684274
"IMG_0001.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0002.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0003.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0004.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0005.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0006.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0007.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0008.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0009.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0010.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0011.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0012.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0013.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0014.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0015.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0016.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
"IMG_0017.JPG_CAM08A_R4_unkcard_08152017_10252017",41.801757,-72.684274
